,group,sender,text,date
1,freifahren_BE,1481608210,2 jüngere Typen (einer mit pinselkopf) sind aus dem zweiten Waggon mit ausgestiegen,2023-09-06 15:28:51+00:00
1,freifahren_BE,592405334,u1 kurfürstenstraße blauwesten,2023-09-06 16:17:40+00:00
1,freifahren_BE,1790203346,U9 Hansaplatz on the platform Richtung Osloer str. wearing vests,2023-09-06 16:30:12+00:00
1,freifahren_BE,817474732,Gesundbrunnen: 3 Polizist*innen am Gleis 1,2023-09-06 16:30:36+00:00
1,freifahren_BE,192319192,U6 direction kurt Schumacher Platz. Wearing blue vests,2023-09-06 16:44:35+00:00
1,freifahren_BE,1811286176,U8 hermanplatz towards hermanstrasse,2023-09-06 16:48:32+00:00
1,freifahren_BE,845927947,Leopoldplatz u9 Richtung Osloer,2023-09-06 17:00:44+00:00
1,freifahren_BE,1583915973,BOS gerade in U1 bei Nollendorfplatz eingestiegen Richtung Warschauer,2023-09-06 17:06:43+00:00
1,freifahren_BE,1583915973,Ausgestiegen Kurfürstenstr,2023-09-06 17:07:06+00:00
1,freifahren_BE,5307935948,U6  viele Controller viele Stress gemacht,2023-09-06 17:08:52+00:00
1,freifahren_BE,445908679,Bitte immer die letzte Station dazuschreiben. Linien sind lang und die Meldung ist damit leider ungenau.,2023-09-06 17:17:19+00:00
1,freifahren_BE,535919727,Kontrolletti in der U9 Zoo -> Rathaus Steglitz,2023-09-06 17:39:18+00:00
1,freifahren_BE,535919727,Sind Zoo ausgestiegen,2023-09-06 17:40:26+00:00
